heading,authors,subtitles,timeframe,languages,ratings,ratings_count,prices
Anne of Green Gables,Written by: Lucy Maud Montgomery,,Length: 9 hrs and 22 mins,Language: English,5 out of 5 stars,103 ratings,₹836.00
13 Kaam Jo Samajhdar Log Nahi Karte [13 Commonwealth Games],Written by: Amy Morin,,Length: 8 hrs and 18 mins,Language: Hindi,5 out of 5 stars,31 ratings,₹284.00
Dharmayoddha Kalki: Avatar of Vishnu,Written by: Kevin Missal,"Kalki Trilogy, Book 1",Length: 12 hrs and 34 mins,Language: English,4 out of 5 stars,283 ratings,₹69.00
The Power of Your Subconscious Mind (Marathi Edition),Written by: Joseph Murphy,,Length: 9 hrs and 40 mins,Language: Hindi,5 out of 5 stars,10 ratings,₹668.00
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Written by: Dr. Joseph Murphy,,Length: 8 hrs and 37 mins,Language: Hindi,5 out of 5 stars,656 ratings,₹161.00
P. G. Wodehouse Volume 2,Written by: P. G. Wodehouse,The Blandings Collection,Length: 45 hrs and 27 mins,Language: English,5 out of 5 stars,72 ratings,"₹1,138.00"
The Psychology of Money (Marathi Edition),Written by: Morgan Housel,,Length: 8 hrs and 50 mins,Language: Hindi,5 out of 5 stars,31 ratings,₹69.00
H.G. Wells: The Science Fiction Collection,Written by: H. G. Wells,,Length: 27 hrs and 15 mins,Language: English,4.5 out of 5 stars,60 ratings,"₹1,898.00"
Unhooked,Written by: Adi Jaffe PhD,Free Yourself from Addiction Forever,Length: 8 hrs and 7 mins,Language: English,,Not rated yet,₹500.00
Walking in Zen Sitting in Zen,Written by: OSHO,Meditation Is Either a Twenty-Four-Hour Affair or It Cannot Be at All,Length: 26 hrs and 35 mins,Language: English,5 out of 5 stars,20 ratings,₹586.00
Chokher Bali [A Grain of Sand],Written by: Rabindranath Tagore,,Length: 8 hrs and 50 mins,Language: Hindi,4.5 out of 5 stars,53 ratings,
Huge Deal,Written by: Lauren Layne,"The 21 Wall Street Series, Book 3",Length: 7 hrs and 19 mins,Language: English,4.5 out of 5 stars,39 ratings,₹517.00
1984 (Hindi Edition),Written by: George Orwell,,Length: 13 hrs and 51 mins,Language: Hindi,4.5 out of 5 stars,38 ratings,₹69.00
The Krishna Key,Written by: Ashwin Sanghi,,Length: 12 hrs and 24 mins,Language: English,4.5 out of 5 stars,376 ratings,₹69.00
